idPersonal,idNews,qReaction,qClassification,qFirstEmotion,qSecondEmotion
285,1,SAD,Neutral,sadness,DNA
286,1,LOVE,Positive,joy,DNA
287,1,LOVE,Positive,joy,surprise
288,1,WOW,Negative,surprise,DNA
289,1,DNA,DNA,DNA,DNA
290,1,LIKE,Neutral,sadness,DNA
291,1,DNA,DNA,DNA,DNA
292,1,LOVE,Positive,joy,DNA
293,1,LOVE,Positive,joy,sadness
294,1,SAD,Negative,sadness,fear
295,1,SAD,Negative,sadness,DNA
296,1,WOW,Neutral,sadness,DNA
297,1,LIKE,Positive,joy,DNA
298,1,LIKE,Neutral,DNA,do not recognize
299,1,DNA,DNA,DNA,DNA
300,1,DNA,DNA,DNA,DNA
302,1,WOW,Positive,sadness,surprise
303,1,DNA,DNA,DNA,DNA
304,1,LOVE,Neutral,surprise,DNA
305,1,WOW,Neutral,surprise,DNA
306,1,LIKE,Neutral,joy,DNA
307,1,WOW,Neutral,surprise,DNA
308,1,LIKE,Positive,surprise,DNA
309,1,LOVE,Positive,joy,sadness
310,1,WOW,Negative,sadness,surprise
311,1,SAD,Negative,joy,sadness
312,1,LIKE,Positive,joy,sadness
313,1,SAD,Neutral,sadness,DNA
314,1,LOVE,Positive,joy,DNA
315,1,LIKE,Neutral,joy,sadness
316,1,DNA,DNA,DNA,DNA
317,1,SAD,Positive,sadness,DNA
318,1,DNA,DNA,DNA,DNA
319,1,WOW,Positive,fear,DNA
321,1,ANGRY,Negative,disgust,do not recognize
322,1,WOW,Negative,sadness,DNA
323,1,LIKE,Neutral,sadness,surprise
324,1,DNA,DNA,DNA,DNA
325,1,LIKE,Positive,joy,DNA
326,1,WOW,Positive,surprise,DNA
327,1,SAD,Positive,sadness,DNA
328,1,SAD,Negative,sadness,DNA
329,1,LOVE,Positive,joy,DNA
330,1,WOW,Negative,joy,DNA
331,1,SAD,Negative,sadness,DNA
332,1,DNA,DNA,DNA,DNA
333,1,LOVE,Positive,joy,DNA
334,1,LOVE,Positive,joy,DNA
335,1,LOVE,Positive,joy,DNA
336,1,SAD,Negative,sadness,anger
337,1,WOW,Neutral,DNA,do not recognize
338,1,DNA,DNA,DNA,DNA
339,1,ANGRY,Negative,disgust,surprise
340,1,LIKE,Neutral,DNA,do not recognize
341,1,LOVE,Positive,joy,DNA
342,1,DNA,DNA,DNA,DNA
343,1,LIKE,Neutral,joy,sadness
344,1,LIKE,Positive,joy,DNA
346,1,SAD,Positive,sadness,DNA
347,1,WOW,Positive,sadness,DNA
348,1,LIKE,Neutral,DNA,do not recognize
350,1,LOVE,Positive,joy,DNA
351,1,LIKE,Positive,joy,DNA
352,1,SAD,Neutral,joy,sadness
353,1,LIKE,Positive,joy,DNA
354,1,LOVE,Positive,joy,sadness
355,1,LIKE,Positive,joy,DNA
356,1,SAD,Negative,sadness,surprise
357,1,LIKE,Neutral,joy,sadness
358,1,WOW,Neutral,surprise,DNA
359,1,DNA,DNA,DNA,DNA
360,1,LIKE,Neutral,surprise,DNA
361,1,DNA,DNA,DNA,DNA
362,1,SAD,Negative,sadness,surprise
363,1,LIKE,Neutral,DNA,do not recognize
364,1,LOVE,Positive,DNA,do not recognize
365,1,SAD,Negative,sadness,DNA
366,1,LIKE,Neutral,joy,sadness
367,1,DNA,DNA,DNA,DNA
368,1,LIKE,Positive,joy,surprise
369,1,LIKE,Positive,joy,sadness
370,1,WOW,Positive,surprise,DNA
371,1,SAD,Negative,joy,sadness
372,1,LIKE,Negative,joy,sadness
373,1,DNA,DNA,DNA,DNA
374,1,LOVE,Positive,joy,DNA
375,1,LIKE,Positive,sadness,surprise
376,1,LOVE,Neutral,sadness,DNA
377,1,LOVE,Positive,joy,sadness
378,1,LOVE,Positive,joy,DNA
379,1,DNA,DNA,DNA,DNA
380,1,DNA,DNA,DNA,DNA
381,1,LIKE,Neutral,surprise,DNA
382,1,LIKE,Positive,joy,DNA
383,1,LOVE,Positive,joy,sadness
384,1,LIKE,Neutral,DNA,do not recognize
385,1,SAD,Neutral,sadness,DNA
386,1,LIKE,Negative,joy,DNA
387,1,WOW,Negative,surprise,DNA
388,1,LOVE,Positive,joy,DNA
389,1,LIKE,Positive,joy,DNA
390,1,WOW,Neutral,surprise,DNA
391,1,WOW,Negative,surprise,DNA
392,1,SAD,Positive,sadness,DNA
393,1,ANGRY,Negative,DNA,do not recognize
394,1,ANGRY,Negative,sadness,anger
395,1,WOW,Negative,surprise,DNA
396,1,LIKE,Negative,surprise,DNA
397,1,DNA,DNA,DNA,DNA
398,1,LOVE,Neutral,joy,sadness
399,1,SAD,Neutral,sadness,DNA
400,1,LIKE,Neutral,joy,sadness
402,1,DNA,DNA,DNA,DNA
403,1,SAD,Negative,sadness,surprise
404,1,LIKE,Positive,joy,DNA
405,1,LOVE,Positive,joy,DNA
407,1,LIKE,Neutral,joy,surprise
408,1,DNA,DNA,DNA,DNA
409,1,SAD,Negative,sadness,DNA
410,1,LOVE,Positive,joy,sadness
411,1,LOVE,Negative,sadness,DNA
412,1,WOW,Positive,surprise,DNA
413,1,SAD,Positive,sadness,DNA
414,1,LIKE,Neutral,surprise,DNA
415,1,LOVE,Positive,joy,DNA
416,1,LIKE,Neutral,joy,surprise
417,1,LOVE,Positive,sadness,DNA
418,1,LIKE,Negative,sadness,fear
419,1,LIKE,Positive,joy,DNA
420,1,LIKE,Negative,sadness,DNA
421,1,DNA,DNA,DNA,DNA
422,1,DNA,DNA,DNA,DNA
423,1,LOVE,Neutral,sadness,surprise
424,1,LOVE,Neutral,joy,DNA
425,1,DNA,DNA,DNA,DNA
426,1,ANGRY,Neutral,sadness,surprise
427,1,DNA,DNA,DNA,DNA
428,1,SAD,Negative,sadness,DNA
429,1,LIKE,Positive,DNA,do not recognize
430,1,LIKE,Neutral,sadness,surprise
431,1,LIKE,Positive,joy,DNA
432,1,DNA,DNA,DNA,DNA
433,1,LOVE,Positive,DNA,do not recognize
434,1,WOW,Positive,surprise,DNA
435,1,WOW,Negative,sadness,fear
436,1,LOVE,Positive,joy,sadness
437,1,LOVE,Positive,surprise,DNA
438,1,SAD,Negative,sadness,DNA
439,1,SAD,Neutral,joy,sadness
440,1,WOW,Negative,sadness,surprise
441,1,WOW,Neutral,fear,surprise
