idNews	imageFile	title	url	like	love	haha	uau	sad	angry
1	01.PNG	Com câncer terminal, garotinha de 5 anos ganha casamento dos sonhos	https://universa.uol.com.br/noticias/redacao/2017/06/19/com-cancer-terminal-garotinha-de-5-anos-ganha-casamento-dos-sonhos.html	770	86	0	4	159	0
2	02.PNG	Globo antecipa laudo da madrasta de Isabella Nardoni e promotor recomenda semi-aberto	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2017/06/18/globo-antecipa-laudo-da-madrasta-de-isabella-nardoni-e-promotor-recomendara-semiaberto.htm						
3	03.PNG	Mulher dá à luz a 1º menino da família em 50 anos e tem melhor reação	https://universa.uol.com.br/noticias/redacao/2017/06/19/mulher-da-a-luz-a-1-menino-da-familia-em-50-anos-e-tem-melhor-reacao.htm	1400	125	103	28	1	0
4	04.PNG	Justiça decide que Papagaio criado por idosa não pode ser lavado pelo Ibama	http://www1.folha.uol.com.br/colunas/monicabergamo/2017/06/1893608-papagaio-criado-por-idosa-nao-pode-ser-levado-pelo-ibama-decide-stj.shtml						
5	05.PNG	Vaticano investiga organização católica brasileira por 'pacto com Satã'	https://www1.folha.uol.com.br/paywall/signup.shtml?https://www1.folha.uol.com.br/colunas/nelsondesa/2017/06/1893956-vaticano-investiga-organizacao-catolica-brasileira-por-pacto-com-sata.shtml?utm_source=facebook&utm_campaign=noticias&utm_content=+Geral	463	5	189	99	14	12
6	06.PNG	Van avança contra multidão em Londres e deixa feridos, diz polícia	https://www1.folha.uol.com.br/mundo/2017/06/1893949-veiculo-atropela-pessoas-em-londres-e-deixa-feridos-diz-policia.shtml?cmpid=fb-uol&fbclid=IwAR3caj1WqNjL-wU9XyxE13vBzfKTe2-IdvfYVL4ihKBBsxLN9NQ43NNsEUc	463	2	0	19	108	9
7	07.PNG	Após se irritar com choro, padrasto mata menina de 2 anos a socos	https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2017/06/18/padrasto-mata-crianca-de-dois-anos-a-socos.htm?utm_source=facebook&utm_campaign=noticias&utm_content=geral	92	1	0	2	60	117
8	08.PNG	Homem será indenizado em milhões por ter testículo errado retirado em cirurgia	https://noticias.uol.com.br/internacional/ultimas-noticias/2017/06/18/homem-sera-indenizado-em-r-27-milhoes-por-ter-testiculo-errado-retirado-em-cirurgia.htm	207	1	32	37	3	2
9	9.PNG	Polícia divulga as primeiras imagens do interior do prédio incendiado em Londres	https://noticias.uol.com.br/internacional/ultimas-noticias/2017/06/18/policia-divulga-primeiras-imagens-do-interior-do-predio-incendiado-em-londres.htm	227	0	0	11	186	2
10	10.PNG	Primeiro parque aquático do mundo para pessoas com necessidades especiais é inaugurado nos EUA	http://virgula.uol.com.br/comportamento/1o-parque-aquatico-do-mundo-para-pessoas-com-necessidades-especiais-e-inaugurado-nos-eua/?	2500	295	1	3	0	2
11	11.PNG	Nasa descobre 10 novos planetas que podem abrigar vida	https://www.terra.com.br/noticias/ciencia/espaco/nasa-descobre-10-novos-planetas-que-podem-abrigar-vida,779d82cf80f8533d80a59e2193d46a352zzaeagy.html	3000	384	53	418	2	0
12	12.PNG	Corpo Carbonizado é encontrado dentro de carro em bairro nobre de SP	https://g1.globo.com/sao-paulo/noticia/corpo-carbonizado-e-encontrado-dentro-de-carro-no-morumbi.ghtml	1200	5	0	60	134	6
13	13.PNG	Esperava abraçar minha filha e agora não tem como mais. É desumano	https://g1.globo.com/goias/noticia/e-desumano-diz-pai-de-jovem-morta-a-tiros-junto-com-o-namorado-em-goias.ghtml?	16000	42	6	176	12000	18000
14	14.PNG	Técnica usada na USP retira coágulo de artéria no cérebro e devolve movimentos a vitimas de AVC	https://g1.globo.com/sp/ribeirao-preto-franca/noticia/usp-retira-coagulo-de-arteria-no-cerebro-e-devolve-movimentos-a-vitimas-de-avc.ghtml	55000	917	6	475	2	0
15	15.PNG	Ladrões rendem seguranças e roubam quase 400 armas de fórum na Grande SP	https://g1.globo.com/sao-paulo/noticia/ladroes-rendem-segurancas-e-roubam-391-armas-de-forum-na-grande-sp.ghtml	2400	13	142	433	82	642
16	16.PNG	Torcedor é espancado em briga entre torcidas em Curitiba	https://g1.globo.com/pr/parana/noticia/torcedor-morre-depois-de-briga-entre-torcidas-do-coritiba-e-do-corinthians-em-curitiba.ghtml						
17	17.PNG	Jovem faz sucesso nas redes sociais com retratos de celebridades feitos com lápis de cor	https://g1.globo.com/sc/santa-catarina/noticia/jovem-de-sc-faz-sucesso-nas-redes-sociais-com-retratos-de-celebridades-feitos-com-lapis-de-cor.ghtml						
18	18.PNG	Homem sobe em torre de celular para soltar balão na Zona Leste de SP	https://g1.globo.com/sao-paulo/noticia/homem-sobe-em-torre-de-celular-para-soltar-balao-na-zona-leste-de-sp.ghtml						
19	19.PNG	Empresaria que ficou perdida por 48 horas em milharal recebe alta e diz que está bem	https://g1.globo.com/mato-grosso-do-sul/noticia/empresaria-que-ficou-desaparecida-por-48-horas-em-ms-recebe-alta-e-diz-que-esta-bem.ghtml						
20	20.PNG	Procon encontra alimentos vencidos em sete restaurantes famosos de SP	https://g1.globo.com/sao-paulo/noticia/procon-encontra-alimentos-vencidos-em-sete-restaurantes-famosos-de-sp.ghtml						
21	21.PNG	Menino de 12 anos realiza sonho de ir ao cinema 	https://g1.globo.com/mato-grosso/noticia/menino-de-12-anos-com-doenca-degenerativa-realiza-o-sonho-de-ir-ao-cinema-pela-1-vez.ghtml?utm_source=facebook&utm_medium=share-bar-desktop&utm_campaign=share-bar&fbclid=IwAR3KpWViy1gJVgn9nE_0KO9-e-lIPHETQ2S-o_T8ot6f1yLa-kefKMS2i4A						
22	22.PNG	Doação de medula une homem e família do bebê que ele salvou	https://g1.globo.com/bemestar/noticia/doacao-de-medula-une-homem-e-familia-do-bebe-que-ele-salvou.ghtml						
23	23.PNG	Moradores 'pescam' em buraco para criticar abandono de rua no Interior de SP	https://g1.globo.com/sp/ribeirao-preto-franca/noticia/moradores-pescam-em-buraco-com-vazamento-e-protesto-viraliza-video.ghtml						
24	24.PNG	Menino com leucemia recebe transplante de medula doada pelo irmão mais novo 	https://recordtv.r7.com/jornal-da-record/videos/menino-com-leucemia-recebe-transplante-de-medula-doada-pelo-irmao-mais-novo-06102018	2200	162	0	8	56	1
25	25.PNG	Ginasta mais velha do mundo continua em atividade aos 91 anos	https://esportes.r7.com/futebol/fotos/ginasta-mais-velha-do-mundo-continua-em-atividade-aos-91-anos-18062017#!/foto/1	315	50	1	85	1	0
26	26.PNG	Trabalho com reciclagem em ar poluído é única alternativa para sírios	https://noticias.r7.com/internacional/fotos/trabalho-com-reciclagem-em-ar-poluido-e-unica-alternativa-para-sirios-enfrentarem-falta-de-combustivel-19062017#!/foto/1						
27	27.PNG	Menino perde o equilibro e cai da laje enquanto empinava pipa	https://recordtv.r7.com/cidade-alerta/videos/menino-perde-o-equilibro-e-cai-da-laje-enquanto-empinava-pipa-20102018	306	13	13	118	1	2
28	28.PNG	Mulher ataca garota de 12 anos após namorado dar em cima da adolescente	https://noticias.r7.com/hora-7/fotos/chocante-mulher-ataca-garota-de-12-anos-apos-namorado-dar-em-cima-da-adolescente-16062018#!/foto/1						
29	29.PNG	Homem manda matar colega de trabalho por achar que ela causaria sua demissão	https://recordtv.r7.com/balanco-geral-manha/videos/homem-e-preso-por-encomendar-morte-de-colega-de-trabalho-no-rj-20102018	514	7	0	24	113	216
30	30.PNG	Garota contrai verme que chegou a quase 3 metros após comer sashimi infectado	https://segredosdomundo.r7.com/garota-contrai-verme-que-chegou-quase-3-metros-apos-comer-sashimi-infectado/	286	7	64	198	123	89
